Community Area Number,Community Area Name,Group,Trimester Prenatal Care Began,Births 2000,Percent 2000,total births_2000,weighted_avg_percent_2000,Births 2001,Percent 2001,total births_2001,weighted_avg_percent_2001,Births 2002,Percent 2002,total births_2002,weighted_avg_percent_2002,Births 2003,Percent 2003,total births_2003,weighted_avg_percent_2003,Births 2004,Percent 2004,total births_2004,weighted_avg_percent_2004,Births 2005,Percent 2005,total births_2005,weighted_avg_percent_2005,Births 2006,Percent 2006,total births_2006,weighted_avg_percent_2006,Births 2007,Percent 2007,total births_2007,weighted_avg_percent_2007,Births 2008,Percent 2008,total births_2008,weighted_avg_percent_2008,Births 2009,Percent 2009,total births_2009,weighted_avg_percent_2009
1,ROGERS PARK,Moderately,NO PRENATAL CARE,60,4.7,311,0.906752412,38,3.2,169,0.719526627,41,3.7,151,1.004635762,39,3.8,159,0.932075472,23,2.5,139,0.413669065,27,3,125,0.648,22,2.4,123,0.429268293,13,1.4,94,0.193617021,12,1.3,82,0.190243902,6,0.7,87,0.048275862
2,WEST RIDGE,Less,NO PRENATAL CARE,27,2.1,194,0.292268041,12,1,96,0.125,14,1.1,74,0.208108108,9,0.7,49,0.128571429,6,0.5,36,0.083333333,11,0.9,56,0.176785714,13,1.1,63,0.226984127,12,1,42,0.285714286,10,0.8,35,0.228571429,5,0.4,28,0.071428571
3,UPTOWN,Less,NO PRENATAL CARE,31,3.5,194,0.559278351,11,1.3,96,0.148958333,8,1,74,0.108108108,4,0.5,49,0.040816327,1,0.1,36,0.002777778,9,1.1,56,0.176785714,7,0.9,63,0.1,3,0.4,42,0.028571429,4,0.5,35,0.057142857,2,0.3,28,0.021428571
18,MONTCLARE,Less,NO PRENATAL CARE,2,1,194,0.010309278,0,0,96,0,1,0.5,74,0.006756757,0,0,49,0,0,0,36,0,1,0.5,56,0.008928571,3,1.4,63,0.066666667,1,0.5,42,0.011904762,1,0.4,35,0.011428571,1,0.4,28,0.014285714
4,LINCOLN SQUARE,Less,NO PRENATAL CARE,16,2.4,194,0.197938144,5,0.8,96,0.041666667,2,0.3,74,0.008108108,1,0.1,49,0.002040816,0,0,36,0,3,0.5,56,0.026785714,1,0.2,63,0.003174603,1,0.2,42,0.004761905,2,0.3,35,0.017142857,1,0.1,28,0.003571429
5,NORTH CENTER,Least,NO PRENATAL CARE,6,1,77,0.077922078,3,0.6,45,0.04,0,0,28,0,0,0,39,0,3,0.5,39,0.038461538,3,0.5,33,0.045454545,0,0,28,0,4,0.6,33,0.072727273,1,0.1,25,0.004,1,0.1,24,0.004166667
6,LAKE VIEW,Least,NO PRENATAL CARE,8,0.8,77,0.083116883,2,0.2,45,0.008888889,1,0.1,28,0.003571429,1,0.1,39,0.002564103,4,0.4,39,0.041025641,1,0.1,33,0.003030303,2,0.2,28,0.014285714,4,0.3,33,0.036363636,0,0,25,0,2,0.2,24,0.016666667
7,LINCOLN PARK,Least,NO PRENATAL CARE,4,0.5,77,0.025974026,3,0.4,45,0.026666667,1,0.1,28,0.003571429,2,0.2,39,0.01025641,5,0.6,39,0.076923077,1,0.1,33,0.003030303,2,0.2,28,0.014285714,1,0.1,33,0.003030303,1,0.1,25,0.004,2,0.2,24,0.016666667
8,NEAR NORTH SIDE,Least,NO PRENATAL CARE,10,1.3,77,0.168831169,10,1.2,45,0.266666667,4,0.5,28,0.071428571,9,1.1,39,0.253846154,6,0.7,39,0.107692308,5,0.6,33,0.090909091,3,0.4,28,0.042857143,3,0.4,33,0.036363636,3,0.4,25,0.048,2,0.2,24,0.016666667
10,NORWOOD PARK,Least,NO PRENATAL CARE,2,0.5,77,0.012987013,0,0,45,0,1,0.2,28,0.007142857,2,0.4,39,0.020512821,4,0.9,39,0.092307692,1,0.2,33,0.006060606,0,0,28,0,3,0.7,33,0.063636364,1,0.3,25,0.012,0,0,24,0
