Community Area Number,Community Area Name,Group,Trimester Prenatal Care Began,Births 2000,Percent 2000,total births_2000,weighted_avg_percent_2000,Births 2001,Percent 2001,total births_2001,weighted_avg_percent_2001,Births 2002,Percent 2002,total births_2002,weighted_avg_percent_2002,Births 2003,Percent 2003,total births_2003,weighted_avg_percent_2003,Births 2004,Percent 2004,total births_2004,weighted_avg_percent_2004,Births 2005,Percent 2005,total births_2005,weighted_avg_percent_2005,Births 2006,Percent 2006,total births_2006,weighted_avg_percent_2006,Births 2007,Percent 2007,total births_2007,weighted_avg_percent_2007,Births 2008,Percent 2008,total births_2008,weighted_avg_percent_2008,Births 2009,Percent 2009,total births_2009,weighted_avg_percent_2009
1,ROGERS PARK,Moderately,1ST TRIMESTER,692,54.6,8661,4.362452373,731,61.6,9088,4.954841549,674,61.2,9004,4.581163927,613,59.9,9035,4.064050913,517,55.8,8400,3.434357143,541,60.7,8699,3.774997126,622,66.6,9112,4.546224759,622,68.2,8929,4.750856759,639,71.6,8684,5.268585905,670,73,8461,5.780640586
2,WEST RIDGE,Less,1ST TRIMESTER,826,65.1,6617,8.126431918,806,66.1,6846,7.782150161,894,67.8,6851,8.847350752,807,64.6,6795,7.67214128,722,57.6,6411,6.486850725,753,64.4,6729,7.206598306,803,68.5,6983,7.877058571,880,69.7,6965,8.806317301,902,73.3,6864,9.632371795,886,71.1,6925,9.096693141
3,UPTOWN,Less,1ST TRIMESTER,599,68,6617,6.155659665,647,74.1,6846,7.003023663,567,71.2,6851,5.892628813,582,75.2,6795,6.440971302,516,69,6411,5.553579785,613,77.1,6729,7.023673651,662,81.7,6983,7.745295718,595,77.5,6965,6.620603015,522,71.4,6864,5.429895105,579,77.7,6925,6.496505415
4,LINCOLN SQUARE,Less,1ST TRIMESTER,456,68.8,6617,4.741242255,448,73.2,6846,4.790184049,494,76.2,6851,5.494497154,480,71.6,6795,5.057836645,430,69.9,6411,4.688348152,454,75.8,6729,5.11416258,490,77.3,6983,5.424172992,453,76.8,6965,4.995032304,490,75.7,6864,5.403991841,550,80.5,6925,6.393501805
5,NORTH CENTER,Least,1ST TRIMESTER,471,80.8,6065,6.274822754,455,85,6057,6.385174179,476,87.3,6317,6.578249169,508,86.8,6299,7.000222258,512,85.6,6246,7.016842779,522,84.7,6197,7.134645796,572,86,6211,7.920141684,506,79.1,5974,6.69979913,514,74.9,5806,6.630830176,574,80.4,6210,7.431497585
6,LAKE VIEW,Least,1ST TRIMESTER,927,87.6,6065,13.38915087,898,86.8,6057,12.86881294,967,89.6,6317,13.71587779,964,85.8,6299,13.13084617,956,84.8,6246,12.97931476,975,87.4,6197,13.75100855,905,84.5,6211,12.31242956,927,79,5974,12.25862069,862,73.2,5806,10.86779194,1011,79.1,6210,12.87763285
7,LINCOLN PARK,Least,1ST TRIMESTER,733,87.7,6065,10.59919209,761,89.1,6057,11.19450223,790,90.6,6317,11.33037834,762,84.9,6299,10.27048738,765,87.4,6246,10.70461095,675,85.4,6197,9.302081652,701,83.2,6211,9.390307519,662,80.1,5974,8.876163375,522,66.2,5806,5.951842921,643,75.7,6210,7.838180354
8,NEAR NORTH SIDE,Least,1ST TRIMESTER,534,69.3,6065,6.10159934,589,72.5,6057,7.050107314,586,76.2,6317,7.068735159,593,73.5,6299,6.919431656,607,73.8,6246,7.17204611,600,77.6,6197,7.513312893,624,79,6211,7.93688617,546,71.8,5974,6.562236358,516,62.5,5806,5.554598691,597,69.7,6210,6.700628019
9,EDISON PARK,Least,1ST TRIMESTER,136,93.8,6065,2.103347073,112,91.1,6057,1.684530296,129,89,6317,1.81747665,112,86.8,6299,1.543356088,125,85,6246,1.701088697,117,89.3,6197,1.685993223,113,86.3,6211,1.570101433,110,87.3,5974,1.607465685,121,84,5806,1.750602825,110,86.6,6210,1.533977456
10,NORWOOD PARK,Least,1ST TRIMESTER,368,87.6,6065,5.315218467,378,88.5,6057,5.523031204,400,90.3,6317,5.717904068,385,86.1,6299,5.262501984,360,82.6,6246,4.760806916,360,85.5,6197,4.966919477,368,85.8,6211,5.083625825,347,82,5974,4.762972882,316,81.4,5806,4.430313469,344,89.4,6210,4.952270531
11,JEFFERSON PARK,Least,1ST TRIMESTER,256,87.4,6065,3.689101401,280,82.1,6057,3.795278191,300,86.5,6317,4.10796264,248,78.5,6299,3.090649309,267,82.4,6246,3.522382325,248,79.2,6197,3.169533645,297,81.4,6211,3.89241668,266,78,5974,3.473049883,257,82.9,5806,3.669531519,291,82.9,6210,3.88468599
12,FOREST GLEN,Least,1ST TRIMESTER,189,81.5,6065,2.539736191,216,86.7,6057,3.091827637,220,86.3,6317,3.005540605,230,84.9,6299,3.100015876,208,80,6246,2.664105027,183,79.6,6197,2.350621268,157,77.7,6211,1.964079858,167,81.5,5974,2.278289253,176,74.9,5806,2.270478815,146,79.3,6210,1.864380032
13,NORTH PARK,Less,1ST TRIMESTER,208,75.9,6617,2.385854617,195,69.4,6846,1.976774759,201,75.8,6851,2.223879726,152,63.3,6795,1.41598234,161,66,6411,1.657463734,144,61,6729,1.305394561,173,75.2,6983,1.863038809,156,70,6965,1.567839196,174,78.4,6864,1.987412587,155,79.1,6925,1.770469314
14,ALBANY PARK,Moderately,1ST TRIMESTER,750,61.4,8661,5.316937998,738,64,9088,5.197183099,825,73.9,9004,6.771157263,715,64.2,9035,5.08057554,649,60.5,8400,4.674345238,686,67,8699,5.283595816,718,75.7,9112,5.964947322,752,75.6,8929,6.367028783,703,73.7,8684,5.966271304,699,73.3,8461,6.055631722
15,PORTAGE PARK,Least,1ST TRIMESTER,664,77.4,6065,8.473800495,664,74.5,6057,8.167079412,736,82,6317,9.553902169,686,76.1,6299,8.287759962,638,73,6246,7.456612232,698,75.7,6197,8.526480555,753,81,6211,9.820157785,780,78.8,5974,10.28858386,741,78,5806,9.954874268,726,79.8,6210,9.329275362
