Community Area Number,Community Area Name,Group,Trimester Prenatal Care Began,Births 2000,Percent 2000,total births_2000,weighted_avg_percent_2000,Births 2001,Percent 2001,total births_2001,weighted_avg_percent_2001,Births 2002,Percent 2002,total births_2002,weighted_avg_percent_2002,Births 2003,Percent 2003,total births_2003,weighted_avg_percent_2003,Births 2004,Percent 2004,total births_2004,weighted_avg_percent_2004,Births 2005,Percent 2005,total births_2005,weighted_avg_percent_2005,Births 2006,Percent 2006,total births_2006,weighted_avg_percent_2006,Births 2007,Percent 2007,total births_2007,weighted_avg_percent_2007,Births 2008,Percent 2008,total births_2008,weighted_avg_percent_2008,Births 2009,Percent 2009,total births_2009,weighted_avg_percent_2009
1,ROGERS PARK,Moderately,3RD TRIMESTER,96,7.6,498,1.465060241,60,5.1,405,0.755555556,62,5.6,288,1.205555556,59,5.8,281,1.217793594,47,5.1,254,0.943700787,40,4.5,203,0.886699507,26,2.8,153,0.475816993,21,2.3,146,0.330821918,14,1.6,137,0.16350365,26,2.8,194,0.375257732
2,WEST RIDGE,Less,3RD TRIMESTER,80,6.3,364,1.384615385,62,5.1,274,1.154014599,62,4.7,232,1.256034483,35,2.8,184,0.532608696,38,3,171,0.666666667,29,2.5,113,0.64159292,23,2,106,0.433962264,22,1.7,120,0.311666667,31,2.5,132,0.587121212,55,4.4,159,1.522012579
3,UPTOWN,Less,3RD TRIMESTER,35,4,364,0.384615385,31,3.6,274,0.40729927,24,3,232,0.310344828,13,1.7,184,0.120108696,12,1.6,171,0.112280702,4,0.5,113,0.017699115,4,0.5,106,0.018867925,7,0.9,120,0.0525,14,1.9,132,0.201515152,12,1.6,159,0.120754717
4,LINCOLN SQUARE,Less,3RD TRIMESTER,36,5.4,364,0.534065934,16,2.6,274,0.151824818,25,3.9,232,0.420258621,15,2.2,184,0.179347826,12,2,171,0.140350877,7,1.2,113,0.074336283,4,0.6,106,0.022641509,12,2,120,0.2,13,2,132,0.196969697,10,1.5,159,0.094339623
5,NORTH CENTER,Least,3RD TRIMESTER,13,2.2,136,0.210294118,2,0.4,109,0.00733945,4,0.7,115,0.024347826,3,0.5,73,0.020547945,5,0.8,85,0.047058824,3,0.5,74,0.02027027,1,0.2,69,0.002898551,4,0.6,60,0.04,9,1.3,81,0.144444444,5,0.7,73,0.047945205
6,LAKE VIEW,Least,3RD TRIMESTER,8,0.8,136,0.047058824,12,1.2,109,0.132110092,6,0.6,115,0.031304348,9,0.8,73,0.098630137,9,0.8,85,0.084705882,4,0.4,74,0.021621622,5,0.5,69,0.036231884,3,0.3,60,0.015,9,0.8,81,0.088888889,9,0.7,73,0.08630137
7,LINCOLN PARK,Least,3RD TRIMESTER,8,1,136,0.058823529,7,0.8,109,0.051376147,2,0.2,115,0.003478261,4,0.4,73,0.021917808,3,0.3,85,0.010588235,4,0.5,74,0.027027027,2,0.2,69,0.005797101,3,0.4,60,0.02,6,0.8,81,0.059259259,5,0.6,73,0.04109589
8,NEAR NORTH SIDE,Least,3RD TRIMESTER,43,5.6,136,1.770588235,26,3.2,109,0.763302752,24,3.1,115,0.646956522,12,1.5,73,0.246575342,19,2.3,85,0.514117647,9,1.2,74,0.145945946,7,0.9,69,0.091304348,6,0.8,60,0.08,6,0.7,81,0.051851852,12,1.4,73,0.230136986
9,EDISON PARK,Least,3RD TRIMESTER,1,0.7,136,0.005147059,3,2.4,109,0.066055046,1,0.7,115,0.006086957,1,0.8,73,0.010958904,1,0.7,85,0.008235294,1,0.8,74,0.010810811,1,0.8,69,0.011594203,0,0,60,0,0,0,81,0,1,0.8,73,0.010958904
10,NORWOOD PARK,Least,3RD TRIMESTER,5,1.2,136,0.044117647,0,0,109,0,6,1.4,115,0.073043478,3,0.7,73,0.028767123,4,0.9,85,0.042352941,4,1,74,0.054054054,2,0.5,69,0.014492754,4,0.9,60,0.06,5,1.3,81,0.080246914,0,0,73,0
11,JEFFERSON PARK,Least,3RD TRIMESTER,5,1.7,136,0.0625,5,1.5,109,0.068807339,8,2.3,115,0.16,5,1.6,73,0.109589041,3,0.9,85,0.031764706,5,1.6,74,0.108108108,6,1.6,69,0.139130435,8,2.3,60,0.306666667,5,1.6,81,0.098765432,4,1.1,73,0.060273973
12,FOREST GLEN,Least,3RD TRIMESTER,1,0.4,136,0.002941176,3,1.2,109,0.033027523,5,2,115,0.086956522,1,0.4,73,0.005479452,1,0.4,85,0.004705882,0,0,74,0,2,1,69,0.028985507,3,1.5,60,0.075,3,1.3,81,0.048148148,5,2.7,73,0.184931507
13,NORTH PARK,Less,3RD TRIMESTER,8,2.9,364,0.063736264,12,4.3,274,0.188321168,6,2.3,232,0.059482759,4,1.7,184,0.036956522,6,2.5,171,0.087719298,2,0.8,113,0.014159292,2,0.9,106,0.016981132,3,1.3,120,0.0325,7,3.2,132,0.16969697,3,1.5,159,0.028301887
14,ALBANY PARK,Moderately,3RD TRIMESTER,81,6.6,498,1.073493976,57,4.9,405,0.68962963,35,3.1,288,0.376736111,31,2.8,281,0.308896797,21,2,254,0.165354331,13,1.3,203,0.083251232,20,2.1,153,0.274509804,13,1.3,146,0.115753425,21,2.2,137,0.337226277,28,2.9,194,0.418556701
15,PORTAGE PARK,Least,3RD TRIMESTER,24,2.8,136,0.494117647,23,2.6,109,0.548623853,19,2.1,115,0.346956522,12,1.3,73,0.21369863,20,2.3,85,0.541176471,22,2.4,74,0.713513514,13,1.4,69,0.263768116,8,0.8,60,0.106666667,19,2,81,0.469135802,8,0.9,73,0.098630137
16,IRVING PARK,Less,3RD TRIMESTER,56,5.7,364,0.876923077,37,3.7,274,0.499635036,21,2.2,232,0.199137931,16,1.7,184,0.147826087,16,1.7,171,0.159064327,12,1.4,113,0.148672566,15,1.6,106,0.226415094,16,1.7,120,0.226666667,13,1.4,132,0.137878788,10,1.2,159,0.075471698
17,DUNNING,Least,3RD TRIMESTER,9,1.7,136,0.1125,10,2.2,109,0.201834862,8,1.8,115,0.125217391,7,1.3,73,0.124657534,6,1.3,85,0.091764706,5,1,74,0.067567568,7,1.5,69,0.152173913,3,0.7,60,0.035,2,0.4,81,0.009876543,6,1.1,73,0.090410959
18,MONTCLARE,Less,3RD TRIMESTER,5,2.6,364,0.035714286,5,2.5,274,0.045620438,6,3.1,232,0.080172414,3,1.6,184,0.026086957,7,3.6,171,0.147368421,3,1.4,113,0.037168142,5,2.3,106,0.108490566,2,1,120,0.016666667,2,0.9,132,0.013636364,5,2.2,159,0.06918239
19,BELMONT CRAGIN,Moderately,3RD TRIMESTER,51,3.5,498,0.358433735,51,3,405,0.377777778,43,2.7,288,0.403125,31,1.9,281,0.209608541,34,2.1,254,0.281102362,29,1.8,203,0.257142857,14,0.8,153,0.073202614,20,1.2,146,0.164383562,14,0.9,137,0.091970803,22,1.4,194,0.158762887
