Community Area Number,Community Area Name,Group,Trimester Prenatal Care Began,Births 2000,Percent 2000,total births_2000,weighted_avg_percent_2000,Births 2001,Percent 2001,total births_2001,weighted_avg_percent_2001,Births 2002,Percent 2002,total births_2002,weighted_avg_percent_2002,Births 2003,Percent 2003,total births_2003,weighted_avg_percent_2003,Births 2004,Percent 2004,total births_2004,weighted_avg_percent_2004,Births 2005,Percent 2005,total births_2005,weighted_avg_percent_2005,Births 2006,Percent 2006,total births_2006,weighted_avg_percent_2006,Births 2007,Percent 2007,total births_2007,weighted_avg_percent_2007,Births 2008,Percent 2008,total births_2008,weighted_avg_percent_2008,Births 2009,Percent 2009,total births_2009,weighted_avg_percent_2009
1,ROGERS PARK,Moderately,2ND TRIMESTER,326,25.7,2578,3.249883631,245,20.6,2115,2.386288416,226,20.5,1911,2.424385139,165,16.1,1711,1.552600818,153,16.5,1559,1.619307248,115,12.9,1345,1.102973978,117,12.5,1279,1.143471462,96,10.5,1190,0.847058824,87,9.8,1165,0.731845494,91,9.9,1165,0.773304721
2,WEST RIDGE,Less,2ND TRIMESTER,262,20.7,1557,3.483236994,213,17.5,1210,3.080578512,196,14.9,1168,2.500342466,160,12.8,977,2.096212897,156,12.4,874,2.213272311,110,9.4,812,1.273399015,139,11.8,814,2.014987715,136,10.8,797,1.842910916,131,10.6,775,1.791741935,150,12,785,2.292993631
3,UPTOWN,Less,2ND TRIMESTER,162,18.4,1557,1.914450867,98,11.2,1210,0.907107438,108,13.6,1168,1.257534247,71,9.2,977,0.668577277,63,8.4,874,0.605491991,54,6.8,812,0.452216749,54,6.7,814,0.444471744,48,6.3,797,0.379422836,44,6,775,0.340645161,46,6.2,785,0.363312102
4,LINCOLN SQUARE,Less,2ND TRIMESTER,125,18.9,1557,1.51734104,77,12.6,1210,0.801818182,67,10.3,1168,0.590839041,64,9.6,977,0.628863869,60,9.8,874,0.672768879,48,8,812,0.472906404,49,7.7,814,0.463513514,41,6.9,797,0.354956085,36,5.6,775,0.260129032,36,5.3,785,0.243057325
5,NORTH CENTER,Least,2ND TRIMESTER,68,11.7,768,1.0359375,45,8.4,702,0.538461538,40,7.3,592,0.493243243,30,5.1,594,0.257575758,24,4,530,0.181132075,19,3.1,522,0.112835249,31,4.7,548,0.265875912,20,3.1,502,0.123505976,26,3.8,504,0.196031746,26,3.6,454,0.206167401
6,LAKE VIEW,Least,2ND TRIMESTER,68,6.4,768,0.566666667,53,5.1,702,0.385042735,58,5.4,592,0.529054054,34,3,594,0.171717172,35,3.1,530,0.204716981,47,4.2,522,0.37816092,40,3.7,548,0.270072993,35,3,502,0.209163347,29,2.5,504,0.143849206,35,2.7,454,0.20814978
7,LINCOLN PARK,Least,2ND TRIMESTER,52,6.2,768,0.419791667,42,4.9,702,0.293162393,48,5.5,592,0.445945946,25,2.8,594,0.117845118,27,3.1,530,0.157924528,31,3.9,522,0.231609195,35,4.2,548,0.268248175,27,3.3,502,0.17749004,18,2.3,504,0.082142857,24,2.8,454,0.148017621
8,NEAR NORTH SIDE,Least,2ND TRIMESTER,116,15,768,2.265625,119,14.7,702,2.491880342,104,13.5,592,2.371621622,78,9.7,594,1.273737374,68,8.3,530,1.06490566,65,8.4,522,1.045977011,41,5.2,548,0.389051095,52,6.8,502,0.70438247,49,5.9,504,0.573611111,49,5.7,454,0.615198238
9,EDISON PARK,Least,2ND TRIMESTER,6,4.1,768,0.03203125,7,5.7,702,0.056837607,11,7.6,592,0.141216216,10,7.8,594,0.131313131,13,8.8,530,0.215849057,4,3.1,522,0.023754789,8,6.1,548,0.089051095,7,5.6,502,0.078087649,8,5.6,504,0.088888889,6,4.7,454,0.062114537
10,NORWOOD PARK,Least,2ND TRIMESTER,38,9,768,0.4453125,36,8.4,702,0.430769231,24,5.4,592,0.218918919,38,8.5,594,0.543771044,34,7.8,530,0.500377358,27,6.4,522,0.331034483,39,9.1,548,0.647627737,38,9,502,0.6812749,42,10.8,504,0.9,22,5.7,454,0.276211454
11,JEFFERSON PARK,Least,2ND TRIMESTER,25,8.5,768,0.276692708,40,11.7,702,0.666666667,24,6.9,592,0.27972973,39,12.3,594,0.807575758,24,7.4,530,0.33509434,25,8,522,0.383141762,35,9.6,548,0.613138686,24,7,502,0.334661355,27,8.7,504,0.466071429,31,8.8,454,0.600881057
12,FOREST GLEN,Least,2ND TRIMESTER,23,9.9,768,0.296484375,14,5.6,702,0.111680912,15,5.9,592,0.149493243,17,6.3,594,0.18030303,15,5.8,530,0.164150943,10,4.3,522,0.082375479,12,5.9,548,0.12919708,13,6.3,502,0.16314741,18,7.7,504,0.275,11,6,454,0.145374449
13,NORTH PARK,Less,2ND TRIMESTER,41,15,1557,0.394990366,36,12.8,1210,0.380826446,29,10.9,1168,0.270633562,29,12.1,977,0.359160696,22,9,874,0.226544622,21,8.9,812,0.230172414,18,7.8,814,0.172481572,26,11.7,797,0.381681305,17,7.7,775,0.168903226,22,11.2,785,0.31388535
14,ALBANY PARK,Moderately,2ND TRIMESTER,313,25.6,2578,3.108145849,217,18.8,2115,1.928888889,169,15.1,1911,1.33537415,191,17.1,1711,1.908883694,152,14.2,1559,1.384477229,128,12.5,1345,1.189591078,113,11.9,1279,1.051368256,115,11.6,1190,1.121008403,117,12.3,1165,1.23527897,105,11,1165,0.991416309
15,PORTAGE PARK,Least,2ND TRIMESTER,136,15.9,768,2.815625,145,16.3,702,3.366809117,103,11.5,592,2.000844595,121,13.4,594,2.72962963,111,12.7,530,2.659811321,98,10.6,522,1.990038314,96,10.3,548,1.804379562,95,9.6,502,1.816733068,98,10.3,504,2.002777778,77,8.5,454,1.441629956
16,IRVING PARK,Less,2ND TRIMESTER,179,18.1,1557,2.080860629,133,13.3,1210,1.461900826,148,15.4,1168,1.951369863,86,8.9,977,0.783418628,103,10.9,874,1.284553776,75,8.8,812,0.812807882,85,9.1,814,0.9502457,90,9.5,797,1.072772898,72,7.8,775,0.724645161,60,7.1,785,0.542675159
17,DUNNING,Least,2ND TRIMESTER,63,12,768,0.984375,60,13.4,702,1.145299145,58,13.4,592,1.312837838,73,14,594,1.720538721,55,11.7,530,1.214150943,59,12.1,522,1.367624521,58,12,548,1.270072993,52,11.7,502,1.211952191,61,12.2,504,1.476587302,53,10.1,454,1.17907489
18,MONTCLARE,Less,2ND TRIMESTER,29,14.9,1557,0.277520873,28,14.1,1210,0.326280992,30,15.6,1168,0.400684932,20,10.4,977,0.212896622,28,14.6,874,0.467734554,25,11.5,812,0.354064039,18,8.1,814,0.179115479,29,14.4,797,0.523964868,21,9.2,775,0.249290323,21,9.2,785,0.24611465
19,BELMONT CRAGIN,Moderately,2ND TRIMESTER,307,20.8,2578,2.476958883,309,18.1,2115,2.644397163,270,16.9,1911,2.387755102,225,14.1,1711,1.854178843,200,12.6,1559,1.616420783,178,11,1345,1.455762082,176,10.6,1279,1.458639562,190,11.2,1190,1.788235294,188,11.7,1165,1.88806867,156,9.9,1165,1.325665236
20,HERMOSA,More,2ND TRIMESTER,136,22.5,2557,1.1967149,108,17.5,2134,0.885660731,119,18.2,1952,1.109528689,117,18.3,1850,1.157351351,81,15.7,1712,0.742815421,77,13,1552,0.644974227,48,9.3,1427,0.312824107,59,10.9,1446,0.444744122,74,14.1,1348,0.774035608,49,9.6,1341,0.350782998
21,AVONDALE,Moderately,2ND TRIMESTER,197,23.4,2578,1.788130334,132,16.7,2115,1.042269504,147,17.3,1911,1.330769231,115,13.9,1711,0.934248977,108,14,1559,0.96985247,95,12,1345,0.847583643,72,9.1,1279,0.512275215,71,9.5,1190,0.566806723,53,6.7,1165,0.304806867,50,6.8,1165,0.291845494
