Community Area Number,Community Area Name,Group,Pre-term Births 2000,Percent 2000,total pre-term births_2000,weighted_avg_percent_2000,Pre-term Births 2001,Percent 2001,total pre-term births_2001,weighted_avg_percent_2001,Pre-term Births 2002,Percent 2002,total pre-term births_2002,weighted_avg_percent_2002,Pre-term Births 2003,Percent 2003,total pre-term births_2003,weighted_avg_percent_2003,Pre-term Births 2004,Percent 2004,total pre-term births_2004,weighted_avg_percent_2004,Pre-term Births 2005,Percent 2005,total pre-term births_2005,weighted_avg_percent_2005,Pre-term Births 2006,Percent 2006,total pre-term births_2006,weighted_avg_percent_2006,Pre-term Births 2007,Percent 2007,total pre-term births_2007,weighted_avg_percent_2007,Pre-term Births 2008,Percent 2008,total pre-term births_2008,weighted_avg_percent_2008,Pre-term Births 2009,Percent 2009,total pre-term births_2009,weighted_avg_percent_2009
1,ROGERS PARK,Moderately,151,11.9,1268,1.417113565,107,9,1218,0.790640394,110,10,1194,0.921273032,109,10.6,1131,1.021573828,97,10.5,1154,0.882582322,93,10.4,1169,0.827373824,109,11.7,1104,1.155163043,91,10,1150,0.791304348,105,11.8,1081,1.146160962,103,11.2,1039,1.110298364
2,WEST RIDGE,Less,122,9.6,895,1.308603352,110,9,854,1.159250585,102,7.7,828,0.948550725,136,10.9,861,1.721718931,112,8.9,860,1.159069767,106,9.1,869,1.110011507,111,9.5,918,1.14869281,131,10.4,892,1.52735426,103,8.4,875,0.9888,104,8.3,839,1.028843862
3,UPTOWN,Less,116,13.2,895,1.710837989,92,10.5,854,1.131147541,92,11.6,828,1.288888889,62,8,861,0.576074332,71,9.5,860,0.784302326,79,9.9,869,0.9,91,11.2,918,1.110239651,86,11.2,892,1.079820628,83,11.4,875,1.081371429,77,10.3,839,0.945292014
4,LINCOLN SQUARE,Less,60,9,895,0.603351955,53,8.7,854,0.539929742,54,8.3,828,0.541304348,60,9,861,0.6271777,70,11.4,860,0.927906977,68,11.4,869,0.892059839,72,11.4,918,0.894117647,62,10.5,892,0.729820628,58,9,875,0.596571429,66,9.7,839,0.763051251
5,NORTH CENTER,Least,65,11.1,677,1.065731167,53,9.9,715,0.733846154,45,8.3,782,0.477621483,67,11.5,817,0.943084455,63,10.5,809,0.817676143,64,10.4,746,0.892225201,79,11.9,817,1.150673195,66,10.3,720,0.944166667,56,8.2,765,0.600261438,70,9.8,703,0.975817923
6,LAKE VIEW,Least,98,9.3,677,1.346233383,101,9.8,715,1.384335664,113,10.5,782,1.517263427,120,10.7,817,1.571603427,116,10.3,809,1.476885043,99,8.9,746,1.181099196,106,9.9,817,1.284455324,106,9,720,1.325,113,9.6,765,1.418039216,104,8.1,703,1.19829303
7,LINCOLN PARK,Least,70,8.4,677,0.868537666,89,10.4,715,1.294545455,100,11.5,782,1.470588235,94,10.5,817,1.208078335,91,10.4,809,1.169839308,80,10.1,746,1.08310992,89,10.6,817,1.154712362,82,9.9,720,1.1275,78,9.9,765,1.009411765,66,7.8,703,0.732290185
8,NEAR NORTH SIDE,Least,89,11.5,677,1.511816839,88,10.8,715,1.329230769,102,13.3,782,1.734782609,97,12,817,1.424724602,95,11.6,809,1.362175525,80,10.3,746,1.104557641,80,10.1,817,0.988984088,83,10.9,720,1.256527778,97,11.8,765,1.49620915,82,9.6,703,1.119772404
9,EDISON PARK,Least,8,5.5,677,0.064992614,17,13.8,715,0.328111888,16,11,782,0.225063939,20,15.5,817,0.379436965,10,6.8,809,0.084054388,14,10.7,746,0.20080429,12,9.2,817,0.135128519,12,9.5,720,0.158333333,14,9.7,765,0.17751634,16,12.6,703,0.286770982
10,NORWOOD PARK,Least,41,9.8,677,0.593500739,43,10.1,715,0.607412587,40,9,782,0.460358056,50,11.2,817,0.685434517,56,12.8,809,0.886032138,42,10,746,0.563002681,51,11.9,817,0.742839657,45,10.6,720,0.6625,41,10.6,765,0.568104575,32,8.3,703,0.377809388
11,JEFFERSON PARK,Least,28,9.6,677,0.39704579,31,9.1,715,0.394545455,31,8.9,782,0.352813299,35,11.1,817,0.475520196,41,12.7,809,0.643634116,26,8.3,746,0.289276139,32,8.8,817,0.344675643,42,12.3,720,0.7175,32,10.3,765,0.430849673,27,7.7,703,0.295732575
12,FOREST GLEN,Least,16,6.9,677,0.163072378,24,9.6,715,0.322237762,30,11.8,782,0.452685422,29,10.7,817,0.379804162,28,10.8,809,0.373794808,22,9.6,746,0.28310992,19,9.4,817,0.218604651,13,6.3,720,0.11375,28,11.9,765,0.435555556,19,10.3,703,0.278378378
13,NORTH PARK,Less,24,8.8,895,0.235977654,21,7.5,854,0.18442623,20,7.5,828,0.18115942,21,8.8,861,0.214634146,25,10.2,860,0.296511628,29,12.3,869,0.410471807,26,11.3,918,0.320043573,13,5.8,892,0.084529148,21,9.5,875,0.228,20,10.2,839,0.243146603
14,ALBANY PARK,Moderately,94,7.7,1268,0.570820189,109,9.5,1218,0.850164204,96,8.6,1194,0.691457286,87,7.8,1131,0.6,70,6.5,1154,0.394280763,82,8,1169,0.561163388,92,9.7,1104,0.808333333,81,8.1,1150,0.570521739,83,8.7,1081,0.667992599,79,8.3,1039,0.631087584
